defect_id,product_id,defect_type,year,month,month_no,quarter,defect_date,defect_location,severity_level,severity,inspection_method,repair_cost,High_Severity_Flag,defect_year,defect_month,defect_day
1,15,Structural,2024,Jun,6,Q2,06-06-2024,Component,MINOR,Minor,Visual Inspection,245.47,0,2024,6,6
2,6,Functional,2024,Apr,4,Q2,26-04-2024,Component,MINOR,Minor,Visual Inspection,26.87,0,2024,4,26
3,84,Structural,2024,Feb,2,Q1,15-02-2024,Internal,MINOR,Minor,Automated Testing,835.81,0,2024,2,15
4,10,Functional,2024,Mar,3,Q1,28-03-2024,Internal,CRITICAL,Critical,Automated Testing,444.47,1,2024,3,28
5,14,Cosmetic,2024,Apr,4,Q2,26-04-2024,Component,MINOR,Minor,Manual Testing,823.64,0,2024,4,26
6,17,Functional,2024,Nov,11,Q4,05-11-2024,Internal,MODERATE,Moderate,Visual Inspection,788.11,0,2024,11,5
7,85,Cosmetic,2024,May,5,Q2,23-05-2024,Internal,CRITICAL,Critical,Manual Testing,33.68,1,2024,5,23
8,90,Structural,2024,Jan,1,Q1,15-01-2024,Internal,MODERATE,Moderate,Manual Testing,65.56,0,2024,1,15
9,30,Structural,2024,Jan,1,Q1,26-01-2024,Component,CRITICAL,Critical,Manual Testing,848.61,1,2024,1,26
10,20,Structural,2024,May,5,Q2,06-05-2024,Component,CRITICAL,Critical,Visual Inspection,478.48,1,2024,5,6
11,45,Structural,2024,Apr,4,Q2,28-04-2024,Surface,MODERATE,Moderate,Automated Testing,217.96,0,2024,4,28
12,86,Structural,2024,Feb,2,Q1,25-02-2024,Component,MINOR,Minor,Manual Testing,485.02,0,2024,2,25
13,87,Cosmetic,2024,Jun,6,Q2,20-06-2024,Component,MINOR,Minor,Visual Inspection,714.63,0,2024,6,20
14,72,Cosmetic,2024,Aug,8,Q3,05-08-2024,Surface,CRITICAL,Critical,Manual Testing,603.94,1,2024,8,5
15,74,Cosmetic,2024,Mar,3,Q1,05-03-2024,Component,CRITICAL,Critical,Manual Testing,189.55,1,2024,3,5
16,10,Functional,2024,Jan,1,Q1,20-01-2024,Component,MINOR,Minor,Automated Testing,458.79,0,2024,1,20
17,53,Structural,2024,May,5,Q2,14-05-2024,Internal,MINOR,Minor,Visual Inspection,509.35,0,2024,5,14
18,63,Cosmetic,2024,May,5,Q2,21-05-2024,Component,CRITICAL,Critical,Visual Inspection,538.99,1,2024,5,21
19,28,Functional,2024,Feb,2,Q1,15-02-2024,Internal,CRITICAL,Critical,Manual Testing,34.93,1,2024,2,15
20,81,Structural,2024,May,5,Q2,25-05-2024,Internal,MODERATE,Moderate,Manual Testing,557.11,0,2024,5,25
21,67,Functional,2024,Mar,3,Q1,05-03-2024,Surface,MINOR,Minor,Visual Inspection,831.43,0,2024,3,5
22,6,Structural,2024,Jun,6,Q2,03-06-2024,Surface,MINOR,Minor,Visual Inspection,504.9,0,2024,6,3
23,33,Structural,2024,Jun,6,Q2,05-06-2024,Surface,MODERATE,Moderate,Automated Testing,349.23,0,2024,6,5
24,15,Structural,2024,Feb,2,Q1,23-02-2024,Component,CRITICAL,Critical,Visual Inspection,560.39,1,2024,2,23
25,13,Cosmetic,2024,Feb,2,Q1,19-02-2024,Surface,MODERATE,Moderate,Manual Testing,629.71,0,2024,2,19
26,39,Structural,2024,Jun,6,Q2,15-06-2024,Component,MODERATE,Moderate,Visual Inspection,975.44,0,2024,6,15
27,60,Cosmetic,2024,Aug,8,Q3,05-08-2024,Component,MODERATE,Moderate,Manual Testing,737.54,0,2024,8,5
28,42,Structural,2024,Feb,2,Q1,01-02-2024,Component,CRITICAL,Critical,Manual Testing,592.87,1,2024,2,1
29,3,Structural,2024,Jan,1,Q1,13-01-2024,Component,MODERATE,Moderate,Automated Testing,99.82,0,2024,1,13
30,17,Functional,2024,Jan,1,Q1,22-01-2024,Surface,CRITICAL,Critical,Visual Inspection,106.34,1,2024,1,22
31,30,Structural,2024,Apr,4,Q2,30-04-2024,Surface,CRITICAL,Critical,Automated Testing,352.58,1,2024,4,30
32,25,Structural,2024,Mar,3,Q1,29-03-2024,Surface,MODERATE,Moderate,Visual Inspection,734.12,0,2024,3,29
33,14,Cosmetic,2024,May,5,Q2,15-05-2024,Internal,MINOR,Minor,Visual Inspection,953.54,0,2024,5,15
34,58,Structural,2024,Jun,6,Q2,19-06-2024,Surface,CRITICAL,Critical,Manual Testing,753.89,1,2024,6,19
35,48,Functional,2024,Apr,4,Q2,04-04-2024,Component,CRITICAL,Critical,Automated Testing,955.91,1,2024,4,4
36,20,Structural,2024,Apr,4,Q2,06-04-2024,Surface,CRITICAL,Critical,Automated Testing,776.91,1,2024,4,6
37,68,Cosmetic,2024,Jan,1,Q1,20-01-2024,Internal,CRITICAL,Critical,Manual Testing,607.96,1,2024,1,20
38,51,Functional,2024,Aug,8,Q3,06-08-2024,Internal,MODERATE,Moderate,Automated Testing,107.7,0,2024,8,6
39,12,Functional,2024,Jun,6,Q2,25-06-2024,Internal,CRITICAL,Critical,Manual Testing,27.24,1,2024,6,25
40,92,Cosmetic,2024,Jun,6,Q2,01-06-2024,Surface,CRITICAL,Critical,Visual Inspection,370.83,1,2024,6,1
41,63,Functional,2024,Nov,11,Q4,03-11-2024,Component,MINOR,Minor,Manual Testing,526.08,0,2024,11,3
42,49,Functional,2024,May,5,Q2,18-05-2024,Surface,CRITICAL,Critical,Automated Testing,144.38,1,2024,5,18
43,72,Cosmetic,2024,Mar,3,Q1,23-03-2024,Surface,MODERATE,Moderate,Visual Inspection,534.33,0,2024,3,23
44,24,Structural,2024,May,5,Q2,18-05-2024,Surface,MINOR,Minor,Visual Inspection,456.8,0,2024,5,18
45,64,Functional,2024,May,5,Q2,27-05-2024,Surface,MINOR,Minor,Automated Testing,215.01,0,2024,5,27
46,36,Structural,2024,Apr,4,Q2,24-04-2024,Surface,MODERATE,Moderate,Manual Testing,824.3,0,2024,4,24
47,79,Structural,2024,Feb,2,Q1,14-02-2024,Component,CRITICAL,Critical,Manual Testing,769.28,1,2024,2,14
48,36,Structural,2024,Mar,3,Q1,01-03-2024,Component,MODERATE,Moderate,Manual Testing,160.25,0,2024,3,1
49,65,Functional,2024,Feb,2,Q1,24-02-2024,Component,MINOR,Minor,Automated Testing,386.17,0,2024,2,24
50,9,Functional,2024,Jun,6,Q2,01-06-2024,Component,MODERATE,Moderate,Manual Testing,572.08,0,2024,6,1
51,10,Structural,2024,Jun,6,Q2,26-06-2024,Internal,MINOR,Minor,Visual Inspection,433.85,0,2024,6,26
52,7,Structural,2024,May,5,Q2,19-05-2024,Surface,MINOR,Minor,Manual Testing,338.1,0,2024,5,19
53,81,Functional,2024,Mar,3,Q1,01-03-2024,Surface,CRITICAL,Critical,Automated Testing,93.13,1,2024,3,1
54,62,Cosmetic,2024,May,5,Q2,14-05-2024,Component,MODERATE,Moderate,Visual Inspection,308.37,0,2024,5,14
55,29,Structural,2024,Mar,3,Q1,23-03-2024,Internal,CRITICAL,Critical,Automated Testing,396.58,1,2024,3,23
56,73,Structural,2024,Jan,1,Q1,19-01-2024,Surface,MINOR,Minor,Automated Testing,957.6,0,2024,1,19
57,86,Structural,2024,Jun,6,Q2,03-06-2024,Internal,MODERATE,Moderate,Automated Testing,205.19,0,2024,6,3
58,5,Cosmetic,2024,May,5,Q2,25-05-2024,Component,CRITICAL,Critical,Manual Testing,300.27,1,2024,5,25
59,79,Structural,2024,Oct,10,Q4,03-10-2024,Internal,CRITICAL,Critical,Automated Testing,671.22,1,2024,10,3
60,87,Functional,2024,Feb,2,Q1,18-02-2024,Surface,MINOR,Minor,Visual Inspection,395.1,0,2024,2,18
61,60,Structural,2024,Nov,11,Q4,06-11-2024,Component,CRITICAL,Critical,Visual Inspection,675.89,1,2024,11,6
62,43,Cosmetic,2024,Aug,8,Q3,03-08-2024,Component,MODERATE,Moderate,Visual Inspection,523.02,0,2024,8,3
63,52,Structural,2024,Feb,2,Q1,01-02-2024,Surface,CRITICAL,Critical,Manual Testing,337.5,1,2024,2,1
64,2,Cosmetic,2024,Nov,11,Q4,01-11-2024,Surface,MINOR,Minor,Automated Testing,830.89,0,2024,11,1
65,22,Functional,2024,Apr,4,Q2,16-04-2024,Component,CRITICAL,Critical,Visual Inspection,84.97,1,2024,4,16
66,31,Functional,2024,May,5,Q2,24-05-2024,Internal,MINOR,Minor,Visual Inspection,771.96,0,2024,5,24
67,87,Functional,2024,Mar,3,Q1,15-03-2024,Internal,MINOR,Minor,Automated Testing,46.43,0,2024,3,15
68,11,Cosmetic,2024,Apr,4,Q2,16-04-2024,Internal,MINOR,Minor,Automated Testing,31.91,0,2024,4,16
69,33,Cosmetic,2024,May,5,Q2,19-05-2024,Component,MODERATE,Moderate,Automated Testing,845.8,0,2024,5,19
70,17,Functional,2024,Feb,2,Q1,19-02-2024,Component,MINOR,Minor,Manual Testing,729.55,0,2024,2,19
71,71,Cosmetic,2024,May,5,Q2,03-05-2024,Surface,MODERATE,Moderate,Automated Testing,187.03,0,2024,5,3
72,35,Structural,2024,Jun,6,Q2,29-06-2024,Component,MODERATE,Moderate,Automated Testing,470.35,0,2024,6,29
73,15,Functional,2024,May,5,Q2,20-05-2024,Internal,MINOR,Minor,Visual Inspection,662.35,0,2024,5,20
74,43,Functional,2024,Apr,4,Q2,04-04-2024,Component,CRITICAL,Critical,Visual Inspection,509.97,1,2024,4,4
75,2,Functional,2024,Mar,3,Q1,01-03-2024,Component,CRITICAL,Critical,Manual Testing,352.33,1,2024,3,1
76,36,Functional,2024,Mar,3,Q1,27-03-2024,Surface,MINOR,Minor,Manual Testing,228.22,0,2024,3,27
77,64,Functional,2024,Jun,6,Q2,02-06-2024,Component,CRITICAL,Critical,Manual Testing,632.45,1,2024,6,2
78,28,Functional,2024,Jun,6,Q2,20-06-2024,Component,CRITICAL,Critical,Automated Testing,975.87,1,2024,6,20
79,69,Structural,2024,Mar,3,Q1,23-03-2024,Internal,MODERATE,Moderate,Visual Inspection,967.14,0,2024,3,23
80,75,Structural,2024,Nov,11,Q4,01-11-2024,Surface,MODERATE,Moderate,Automated Testing,992.69,0,2024,11,1
81,69,Functional,2024,Mar,3,Q1,14-03-2024,Surface,MINOR,Minor,Manual Testing,827.74,0,2024,3,14
82,74,Structural,2024,Feb,2,Q1,04-02-2024,Component,CRITICAL,Critical,Automated Testing,270.97,1,2024,2,4
83,69,Structural,2024,Nov,11,Q4,04-11-2024,Surface,CRITICAL,Critical,Visual Inspection,712.98,1,2024,11,4
84,11,Structural,2024,Jun,6,Q2,24-06-2024,Component,CRITICAL,Critical,Manual Testing,556.05,1,2024,6,24
85,92,Structural,2024,Apr,4,Q2,27-04-2024,Component,MINOR,Minor,Manual Testing,200.11,0,2024,4,27
86,70,Structural,2024,Jan,1,Q1,14-01-2024,Component,MODERATE,Moderate,Automated Testing,660.05,0,2024,1,14
87,22,Structural,2024,Jan,1,Q1,21-01-2024,Component,MODERATE,Moderate,Manual Testing,220.96,0,2024,1,21
88,9,Functional,2024,Sep,9,Q3,02-09-2024,Component,CRITICAL,Critical,Visual Inspection,776.54,1,2024,9,2
89,6,Functional,2024,Jan,1,Q1,05-01-2024,Surface,MODERATE,Moderate,Visual Inspection,920.26,0,2024,1,5
90,58,Structural,2024,Feb,2,Q1,17-02-2024,Internal,MODERATE,Moderate,Visual Inspection,492.22,0,2024,2,17
91,98,Cosmetic,2024,Jul,7,Q3,03-07-2024,Surface,CRITICAL,Critical,Manual Testing,513.45,1,2024,7,3
92,93,Functional,2024,Jun,6,Q2,30-06-2024,Component,MODERATE,Moderate,Automated Testing,286.28,0,2024,6,30
93,10,Functional,2024,Jan,1,Q1,04-01-2024,Surface,MINOR,Minor,Automated Testing,698.89,0,2024,1,4
94,72,Cosmetic,2024,Feb,2,Q1,02-02-2024,Internal,CRITICAL,Critical,Visual Inspection,555.25,1,2024,2,2
95,36,Cosmetic,2024,May,5,Q2,16-05-2024,Component,MODERATE,Moderate,Manual Testing,465.92,0,2024,5,16
